地區,區域,屋苑,屋苑英文,落成年份,成交宗數,中位呎價,中位售價,最細面積,最大面積,細節連結
中西區,港島,御花園,Regent On The Park,1985,1,27027,56000000,2072,2072,https://hk.centanet.com/findproperty/transaction-detail/御花園_26071602150015
中西區,港島,威利大廈,Wilmer Building,1973,1,10942,3600000,329,329,https://hk.centanet.com/findproperty/transaction-detail/威利大廈_26071500140012
中西區,港島,高雋閣,Ko Chun Court,1997,1,17529,12200000,696,696,https://hk.centanet.com/findproperty/transaction-detail/高雋閣_26071500330071
中西區,港島,蔚庭軒,Wilton Place,1997,1,20690,6000000,290,290,https://hk.centanet.com/findproperty/transaction-detail/蔚庭軒_26071500960108
中西區,港島,寶雲閣,Bowen Place,1989,1,31313,46500000,1485,1485,https://hk.centanet.com/findproperty/transaction-detail/寶雲閣_26071501200033
中西區,港島,尚逸,Des Voeux W Residence,2026,1,26154,7480000,286,286,https://hk.centanet.com/findproperty/transaction-detail/尚逸_SYA202607S0002
中西區,港島,屈地大廈,Whitty Street Court,1963,1,7869,4100000,521,521,https://hk.centanet.com/findproperty/transaction-detail/屈地大廈_26071400090029
中西區,港島,邦暉大樓,Pong Fai Building,1971,1,12698,4000000,315,315,https://hk.centanet.com/findproperty/transaction-detail/邦暉大樓_26071400170061
中西區,港島,西浦,Soho 189,2012,1,23466,13000000,554,554,https://hk.centanet.com/findproperty/transaction-detail/西浦_26071400300241
中西區,港島,Kensington Hill,Kensington Hill,2016,1,27357,56000000,2047,2047,https://hk.centanet.com/findproperty/transaction-detail/Kensington-Hill_26071401150146
中西區,港島,海外信託銀行大廈,Overseas Trust Bank Building,1969,1,9031,4380000,485,485,https://hk.centanet.com/findproperty/transaction-detail/海外信託銀行大廈_26071401500016
中西區,港島,百麗花園,Bel Mount Garden,1993,1,16634,8500000,511,511,https://hk.centanet.com/findproperty/transaction-detail/百麗花園_26071401600160
中西區,港島,嘉輝花園,Smithfield Terrace,1986,1,17082,4800000,281,281,https://hk.centanet.com/findproperty/transaction-detail/嘉輝花園_26071402040041
中西區,港島,卿旺大廈,Hing Wong Building,1990,1,19177,7460000,389,389,https://hk.centanet.com/findproperty/transaction-detail/卿旺大廈_26071402060167
中西區,港島,海怡花園,Harbour View Garden,1992,1,19202,7700000,401,401,https://hk.centanet.com/findproperty/transaction-detail/海怡花園_26071300160057
中西區,港島,順暉大廈,Shun Fai Building,1993,1,14861,4800000,323,323,https://hk.centanet.com/findproperty/transaction-detail/順暉大廈_26071300650104
中西區,港島,昌運大廈,Cheong Wan Mansion,1984,1,11532,3990000,346,346,https://hk.centanet.com/findproperty/transaction-detail/昌運大廈_26071300770018
中西區,港島,太生大廈,Tai Sang Building,1981,1,13107,4050000,309,309,https://hk.centanet.com/findproperty/transaction-detail/太生大廈_26071301230032
中西區,港島,帝景閣,The Royal Court,1989,1,28455,31500000,1107,1107,https://hk.centanet.com/findproperty/transaction-detail/帝景閣_26071301400046
中西區,港島,均益大廈 3期,Kwan Yick Building Phase 3,1978,1,10814,4250000,393,393,https://hk.centanet.com/findproperty/transaction-detail/均益大廈-3期_26071301560152
中西區,港島,西邊街15號,No. 15 Western Street,2021,1,25283,5360000,212,212,https://hk.centanet.com/findproperty/transaction-detail/西邊街15號_26071301930167
中西區,港島,富景花園,Scenic Heights,1988,1,20000,12000000,600,600,https://hk.centanet.com/findproperty/transaction-detail/富景花園_26071000060016
中西區,港島,美新大廈,May Sun Building,1964,1,8333,4000000,480,480,https://hk.centanet.com/findproperty/transaction-detail/美新大廈_26071000590013
中西區,港島,峰景大廈,Mountain View Court,1959,1,8159,7000000,858,858,https://hk.centanet.com/findproperty/transaction-detail/峰景大廈_26071000870013
中西區,港島,恆盛樓,Hang Shing Lau,1967,1,9224,3957000,429,429,https://hk.centanet.com/findproperty/transaction-detail/恆盛樓_26071000910045
中西區,港島,寶德臺,Borrett Mansions,1966,1,23683,58000000,2449,2449,https://hk.centanet.com/findproperty/transaction-detail/寶德臺_26071000910095
中西區,港島,萬翠花園,Chatswood Villa,1994,1,17731,9220000,520,520,https://hk.centanet.com/findproperty/transaction-detail/萬翠花園_26071001560020
中西區,港島,興華大廈,Hing Wah Mansion,1963,1,3181,4800000,1509,1509,https://hk.centanet.com/findproperty/transaction-detail/興華大廈_26071001700013
中西區,港島,珍珠閣,Pearl Court,1980,1,12658,5000000,395,395,https://hk.centanet.com/findproperty/transaction-detail/珍珠閣_26071001850011
中西區,港島,昌景閣,Cheong King Court,1985,1,16954,3339999,197,197,https://hk.centanet.com/findproperty/transaction-detail/昌景閣_26071002080382
中西區,港島,嘉豪大廈,Kar Ho Building,1988,1,15194,4300000,283,283,https://hk.centanet.com/findproperty/transaction-detail/嘉豪大廈_26071002090014
中西區,港島,榮華大廈,Winner Building,1972,1,11458,3380000,295,295,https://hk.centanet.com/findproperty/transaction-detail/榮華大廈_26071002210076
