Time,Class,Value
201309,40 m2 to 69.9 m2,3.27
201309,70 m2 to 99.9 m2,2.9
201309,Less than 40 m2,3.66
201312,100 m2 to 159.9 m2,2.83
201312,160 m2 or above,2.88
201312,40 m2 to 69.9 m2,3.4
201312,70 m2 to 99.9 m2,2.93
201312,Less than 40 m2,3.63
201403,100 m2 to 159.9 m2,2.93
201403,160 m2 or above,2.49
201403,40 m2 to 69.9 m2,3.31
201403,70 m2 to 99.9 m2,3.02
201403,Less than 40 m2,3.51
201406,100 m2 to 159.9 m2,2.82
201406,160 m2 or above,2.73
201406,40 m2 to 69.9 m2,3.27
201406,70 m2 to 99.9 m2,2.94
201406,Less than 40 m2,3.49
201409,100 m2 to 159.9 m2,2.92
201409,160 m2 or above,2.85
201409,40 m2 to 69.9 m2,3.31
201409,70 m2 to 99.9 m2,3.01
201409,Less than 40 m2,3.66
201412,100 m2 to 159.9 m2,2.83
201412,160 m2 or above,2.59
201412,40 m2 to 69.9 m2,3.27
201412,70 m2 to 99.9 m2,2.89
201412,Less than 40 m2,3.4
201503,100 m2 to 159.9 m2,2.76
201503,160 m2 or above,2.54
201503,40 m2 to 69.9 m2,3.15
201503,70 m2 to 99.9 m2,2.94
201503,Less than 40 m2,3.24
201506,100 m2 to 159.9 m2,2.65
201506,160 m2 or above,2.59
201506,40 m2 to 69.9 m2,3.06
201506,70 m2 to 99.9 m2,2.85
201506,Less than 40 m2,3.32
201509,100 m2 to 159.9 m2,2.88
201509,160 m2 or above,2.69
201509,40 m2 to 69.9 m2,3.11
201509,70 m2 to 99.9 m2,2.9
201509,Less than 40 m2,3.36
201512,100 m2 to 159.9 m2,2.8
201512,160 m2 or above,2.58
201512,40 m2 to 69.9 m2,3.31
201512,70 m2 to 99.9 m2,2.99
201512,Less than 40 m2,3.48
201603,100 m2 to 159.9 m2,2.97
201603,160 m2 or above,2.66
201603,40 m2 to 69.9 m2,3.17
201603,70 m2 to 99.9 m2,2.92
201603,Less than 40 m2,3.49
201606,100 m2 to 159.9 m2,2.71
201606,160 m2 or above,2.5
201606,40 m2 to 69.9 m2,3.11
201606,70 m2 to 99.9 m2,2.81
201606,Less than 40 m2,3.42
201609,100 m2 to 159.9 m2,2.71
201609,160 m2 or above,2.46
201609,40 m2 to 69.9 m2,3.11
201609,70 m2 to 99.9 m2,2.81
201609,Less than 40 m2,3.5
201612,100 m2 to 159.9 m2,2.48
201612,160 m2 or above,2.42
201612,40 m2 to 69.9 m2,3.06
201612,70 m2 to 99.9 m2,2.76
201612,Less than 40 m2,3.32
201703,100 m2 to 159.9 m2,2.66
201703,160 m2 or above,2.22
201703,40 m2 to 69.9 m2,2.98
201703,70 m2 to 99.9 m2,2.73
201703,Less than 40 m2,3.19
201706,100 m2 to 159.9 m2,2.5
201706,160 m2 or above,2.36
201706,40 m2 to 69.9 m2,2.87
201706,70 m2 to 99.9 m2,2.74
201706,Less than 40 m2,3.14
